movie,year,rating,director,starCast,crew,language
Aruvi,2016,8.3,Arun Prabhu Purushothaman (dir.)," Aditi Balan, Padmashri Mohammad Ali"," Aditi Balan , Padmashri Mohammad Ali , Pradeep Anthony , Arnold , K. Babu , Bala , Bharath , Kavitha Bharathy , Madan Chakravarthy , Karthikeyan Chinnaswamy , Dakshana , Lakshmi Gopalaswamy , Hema , Hemalatha , Kamala ",Tamil
96,2018,8.3,C. Prem Kumar (dir.)," Vijay Sethupathi, Trisha Krishnan"," Vijay Sethupathi , Trisha Krishnan , Varsha Bollamma , Adithya Bhaskar , Gouri Kishan , Devadarshini Chetan , Janagaraj , Murugadass , Bagavathi Perumal , Kavithalaya Krishnan , Niyathi Kadambi , Shyam Prasad ",Tamil
Manichithrathazhu,1993,8.3,Fazil (dir.)," Mohanlal, Shobana"," Mohanlal , Shobana , Suresh Gopi , Vinaya Prasad , Nedumudi Venu , Innocent , K.P.A.C. Lalitha , Sudheesh , Thilakan , Ganesh Kumar , Rudra , Pappu , Shridhar , Bhagyalakshmi , Durga Sundararajan ",Malayalam
Jaane Bhi Do Yaaro,1983,8.3,Kundan Shah (dir.)," Naseeruddin Shah, Ravi Baswani"," Naseeruddin Shah , Ravi Baswani , Bhakti Barve , Satish Shah , Om Puri , Pankaj Kapur , Satish Kaushik , Neena Gupta , Deepak Qazir , Rajesh Puri , Zafar Sanjari , Ashok Banthia , Uday Chandra , Harshad Gandhi , Jaspal Sandhu ",Hindi
Thalapathi,1991,8.3,Mani Ratnam (dir.)," Rajinikanth, Mammootty"," Rajinikanth , Mammootty , Shobana , Arvind Swamy , Srividya , Bhanupriya , Amrish Puri , Jai Sankar , Charle , Geetha , Charu Haasan , Manoj K. Jayan , Nagesh , Sonu Walia ",Tamil
Guide,1965,8.3,Vijay Anand (dir.)," Dev Anand, Waheeda Rehman"," Dev Anand , Waheeda Rehman , Leela Chitnis , Anwar Hussain , Ulhas , Gajanan Jagirdar , Rashid Khan , Kishore Sahu , Praveen Paul , Mridula Rani , Purnima , Sheela R. , Krishan Dhawan , Prem Sagar , Narbada Shankar ",Hindi
Chupke Chupke,1975,8.3,Hrishikesh Mukherjee (dir.)," Dharmendra, Sharmila Tagore"," Dharmendra , Sharmila Tagore , Amitabh Bachchan , Jaya Bhaduri , David Abraham , Usha Kiran , Lily Chakravarty , Keshto Mukherjee , Dev Kishan , Om Prakash , Lalita Kumari , Naina Apte , Chaitali , Aarti , Amol Sen ",Hindi
Thani Oruvan,2015,8.2,Mohan Raja (dir.)," Jayam Ravi, Arvind Swamy"," Jayam Ravi , Arvind Swamy , Nayanthara , Nassar , Ganesh Venkatraman , Thambi Ramayya , Mugdha Godse , Vamsi Krishna , Harish Uthaman , Sricharan , Rahul Madhav , Abhinaya , Nagineedu , Anil Murali , V. Madhusudhan Rao ",Tamil
Kannathil Muthamittal,2002,8.2,Mani Ratnam (dir.)," Madhavan, Simran"," Madhavan , Simran , Keerthana Parthiepan , Nandita Das , Prakash Raj , J.D. Chakravarthi , Delhi Kumar , Pasupathy , Bala Singh , Master Suraj , Master Kethan ",Tamil
Khosla Ka Ghosla!,2006,8.2,Dibakar Banerjee (dir.)," Anupam Kher, Boman Irani"," Anupam Kher , Boman Irani , Parvin Dabas , Tara Sharma , Navin Nischol , Kiran Juneja , Ranvir Shorey , Vinod Nagpal , Vinay Pathak , Nitish Pandey , Rajendra Sethi , Rajesh Sharma , Roopam Bajwa , Anusha Lal , Irfan Mir Sarkh Noor ",Hindi
Gully Boy,2019,8.2,Zoya Akhtar (dir.)," Ranveer Singh, Alia Bhatt"," Ranveer Singh , Alia Bhatt , Siddhant Chaturvedi , Vijay Raaz , Amruta Subhash , Vijay Varma , Kalki Koechlin , Ikhlaque Khan , Sheeba Chaddha , Jyoti Subhash , Rahul Piske , Nakul Sachdeva , Shruti Chauhan , Aishwarya Desai , Kubbra Sait ",Hindi
Apur Sansar,1959,8.2,Satyajit Ray (dir.)," Soumitra Chatterjee, Sharmila Tagore"," Soumitra Chatterjee , Sharmila Tagore , Alok Chakravarty , Swapan Mukherjee , Tushar Bandyopadhyay , Gupi Banerjee , Panchanan Bhattacharya , Shanti Bhattacherjee , Jiten Bhons , Abhijit Chatterjee , Jogesh Chatterjee , Asha Devi , Belarani Devi , Sefalika Devi , Biren Ghosh ",Bengali
Vada Chennai,2018,8.2,Vetrimaaran (dir.)," Dhanush, Ameer Sultan"," Dhanush , Ameer Sultan , Radha Ravi , Daniel Balaji , Kishore Kumar G. , Samuthirakani , Pavan , Andrea Jeremiah , Aishwarya Rajesh , Subramaniam Siva , Vincent Ashokan , G. Marimuthu , Sai Dheena , Hari , Pavel ",Tamil
Dhuruvangal Pathinaaru,2016,8.2,Karthick Naren (dir.)," Rahman, Prakash Raghavan"," Rahman , Prakash Raghavan , Sharath Kumar , Santhosh Krishna , Praveen , Bala Hasan , Vinod Varma , Ashwin Kumar , Kunal Kaushik , Anjana Jayaprakash , Yaashika Aanand , Delhi Ganesh , Karthick Naren , Karthikeyan Palanisamy ",Tamil
